#StopPointNumber;StopPointName;StopAreaNumber;LocationNorthingCoordinate;LocationEastingCoordinate;ZoneShortName;StopAreaTypeCode;LastModifiedUtcDateTime;ExistsFromDate
61748;Hägernäs station;61748;59.4505044951802;18.1253955909911;B;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
61749;Åkerby industriområde;61749;59.4498600053407;18.0852066781336;B;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
61750;Åkerby industriområde;61749;59.4496966649952;18.0852966207315;B;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
61751;Täbybadet;61751;59.4418837868001;18.0044340358764;B;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
61752;Täbybadet;61751;59.4418840832747;18.0044164238225;B;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
61767;Österängsvägen;61767;59.4354173580489;18.0467624855612;A;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
61768;Österängsvägen;61767;59.4354597933234;18.0484752272391;A;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
61769;Enhagsvägen;61769;59.4376075760387;18.0546466195927;B;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
61770;Enhagsvägen;61769;59.4368910531886;18.0540173077678;B;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
61771;Näsbypark;61921;59.4301370517625;18.0949189021947;B;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
61772;Måttbandsvägen;61772;59.4664850197644;18.1267949945075;B;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
61773;Måttbandsvägen;61772;59.4671466572418;18.1275882703790;B;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
61774;Linjalvägen;61774;59.4674417026776;18.1328132617078;B;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
61775;Linjalvägen;61774;59.4674216254419;18.1326500053619;B;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
61778;Ritarslingan;61747;59.4698870114484;18.1312416732286;B;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
61779;Ritarslingan södra;61779;59.4687786283861;18.1269128074348;B;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
61780;Flygkårsvägen;61741;59.4451412152870;18.1240055345857;B;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
61781;Flygkårsvägen;61741;59.4449676898752;18.1256864845522;B;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
61782;Jarlabankes väg;61782;59.4982839274722;18.1006098892630;B;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
61783;Jarlabankes väg;61782;59.4985983096486;18.1007383136118;B;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
61784;Norra Bergtorp;61784;59.4463866740969;18.0946715999444;B;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
61785;Norra Bergtorp;61784;59.4465966248656;18.0948750310942;B;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
61786;Hägernäs Pilotvägen;61786;59.4486626142700;18.1259572209817;B;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
61787;Hägernäs Pilotvägen;61786;59.4485526899177;18.1265845675957;B;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
61788;Flygstigen;61788;59.4497729964266;18.1311830458132;B;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
61789;Flygstigen;61788;59.4497336708922;18.1313743428837;B;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
61790;Täby kyrkby trafikplats;61790;59.4764016607570;18.0525282591859;B;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
