#LineNumber;DirectionCode;StopAreaNumber;LastModifiedUtcDateTime;ExistsFromDate
537;2;50560;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
537;2;50563;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
537;2;50565;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
537;2;50567;2013-12-19 00:00:00.000;2013-12-19 00:00:00.000
537;2;50571;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
537;2;50579;2013-01-07 00:00:00.000;2013-01-07 00:00:00.000
537;2;50597;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
537;2;50664;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
537;2;50666;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
537;2;50668;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
537;2;50864;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
537;2;50866;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
537;2;50870;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
537;2;50872;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
537;2;50875;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
537;2;50995;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
537;2;51000;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
537;2;51273;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
537;2;51275;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
537;2;51284;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
537;2;51286;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
537;2;51288;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
537;2;51290;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
537;2;51292;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
537;2;51294;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
537;2;51296;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
537;2;51298;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
537;2;51300;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
537;2;51482;2013-02-12 00:00:00.000;2013-02-12 00:00:00.000
537;2;51514;2013-01-07 00:00:00.000;2013-01-07 00:00:00.000
537;2;51664;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
537;2;51684;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
537;2;52320;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
537;2;52444;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
537;2;52450;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
537;2;52586;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
537;2;55060;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
537;2;55062;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
537;2;56404;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
537;2;56683;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
537;2;56685;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
537;2;56687;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
537;2;56701;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
537;2;56730;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
538;1;50542;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
538;1;50864;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
538;1;50866;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
538;1;50870;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
538;1;50872;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
538;1;50875;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
538;1;50899;2014-01-16 00:00:00.000;2014-01-16 00:00:00.000
538;1;50901;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
538;1;50907;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
538;1;50910;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
538;1;50924;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
538;1;50953;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
538;1;50968;2014-01-30 00:00:00.000;2014-01-30 00:00:00.000
538;1;50970;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
538;1;50972;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
538;1;50976;2013-12-15 00:00:00.000;2013-12-15 00:00:00.000
538;1;50978;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
538;1;50984;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
538;1;50995;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
538;1;51284;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
538;1;51286;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
538;1;51288;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
538;1;51290;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
538;1;51292;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
538;1;51294;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
538;1;51296;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
538;1;51300;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
538;1;52020;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
538;1;52033;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
538;1;52171;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
538;1;52173;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
