#LineNumber;LineDesignation;DefaultTransportMode;DefaultTransportModeCode;LastModifiedUtcDateTime;ExistsFromDate
116;116;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
117;117;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
118;118;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
119;119;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
124;124;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
127;127;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
133;133;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
134;134;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
135;135;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
141;141;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
142;142;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
143;143;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
144;144;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
147;147;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
151;151;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
152;152;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
153;153;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
154;154;;BUS;2012-11-06 00:00:00.000;2012-11-06 00:00:00.000
155;155;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
156;156;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
157;157;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
