#LineNumber;LineDesignation;DefaultTransportMode;DefaultTransportModeCode;LastModifiedUtcDateTime;ExistsFromDate
792;792;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
794;794;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
795;795;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
797;797;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
798;798;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
801;801;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
805;805;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
806;806;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
807;807;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
809;809;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
810;810;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
811;811;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
812;812;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
813;813;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
814;814;;BUS;2013-12-15 00:00:00.000;2013-12-15 00:00:00.000
815;815;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
816;816;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
818;818;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
819;819;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
821;821;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
822;822;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
823;823;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
824;824;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
825;825;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
826;826;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
827;827;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
828;828;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
829;829;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
830;830;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
831;831;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
832;832;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
833;833;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
834;834;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
835;835;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
836;836;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
837;837;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
839;839;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
840;840;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
841;841;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
842;842;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
843;843;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
845;845;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
846;846;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
847;847;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
848;848;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
