#SiteId;SiteName;StopAreaNumber;LastModifiedUtcDateTime;ExistsFromDate
2614;Bergavägen;66029;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
7040;Bergavägen;70980;2012-10-11 13:42:01.640;2012-10-12 00:00:00.000
7338;Bergavägen;70536;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
7762;Bergavägen;75316;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
5291;Bergby;51133;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
6348;Bergby;65313;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
6944;Bergby gård;64369;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
6943;Bergby handel;64373;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
6942;Bergby skola;64375;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
6930;Bergbybadet;64367;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
3761;Bergengatan;51474;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
8030;Bergfoten;80011;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
8026;Bergfotens skola;80027;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
5793;Berghem;51600;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
1186;Bergiusvägen;60303;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
5448;Bergkällavägen;51664;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
3437;Berglunda;51548;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
9916;Bergsgatan;51884;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
9202;Bergshamra;2241;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
9202;Bergshamra;50357;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
9202;Bergshamra;50359;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
9202;Bergshamra;17319;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
3551;Bergshamra allé;50274;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
6351;Bergshamra brandstation;62079;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
3431;Bergshamra bro;50388;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
3432;Bergshamra centrum;2241;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
3432;Bergshamra centrum;50357;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
6342;Bergshamra fritidsområde;62223;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
3434;Bergshamra gård;50353;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
5230;Bergshamra gård;55048;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
6352;Bergshamra mejeri;62081;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
6353;Bergshamra pensionat;62083;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
6350;Bergshamra skola;62077;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
3430;Bergshamra södra;2241;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
3430;Bergshamra södra;50359;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
3430;Bergshamra södra;17319;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
6355;Bergshamraviken;62087;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
